2021-11-17 21:57:55 status unpacked libxau6:arm64 1:1.0.8-1+b2
2021-11-17 21:57:55 status half-configured libxau6:arm64 1:1.0.8-1+b2
2021-11-17 21:57:55 status installed libxau6:arm64 1:1.0.8-1+b2
2021-11-17 21:57:55 configure libraw1394-11:arm64 2.1.2-1+b1 <none>
2021-11-17 21:57:55 status unpacked libraw1394-11:arm64 2.1.2-1+b1
2021-11-17 21:57:56 status half-configured libraw1394-11:arm64 2.1.2-1+b1
2021-11-17 21:57:56 status installed libraw1394-11:arm64 2.1.2-1+b1
2021-11-17 21:57:56 configure libkeyutils1:arm64 1.6-6 <none>
2021-11-17 21:57:56 status unpacked libkeyutils1:arm64 1.6-6
2021-11-17 21:57:56 status half-configured libkeyutils1:arm64 1.6-6
2021-11-17 21:57:56 status installed libkeyutils1:arm64 1.6-6
2021-11-17 21:57:56 configure libsbc1:arm64 1.4-1 <none>
2021-11-17 21:57:56 status unpacked libsbc1:arm64 1.4-1
2021-11-17 21:57:56 status half-configured libsbc1:arm64 1.4-1
2021-11-17 21:57:56 status installed libsbc1:arm64 1.4-1
2021-11-17 21:57:56 configure libip6tc0:arm64 1.8.2-4 <none>
2021-11-17 21:57:56 status unpacked libip6tc0:arm64 1.8.2-4
2021-11-17 21:57:56 status half-configured libip6tc0:arm64 1.8.2-4
2021-11-17 21:57:56 status installed libip6tc0:arm64 1.8.2-4
2021-11-17 21:57:56 configure libapparmor1:arm64 2.13.2-10 <none>
2021-11-17 21:57:56 status unpacked libapparmor1:arm64 2.13.2-10
2021-11-17 21:57:56 status half-configured libapparmor1:arm64 2.13.2-10
2021-11-17 21:57:56 status installed libapparmor1:arm64 2.13.2-10
2021-11-17 21:57:56 configure libc-l10n:all 2.28-10 <none>
2021-11-17 21:57:56 status unpacked libc-l10n:all 2.28-10
2021-11-17 21:57:56 status half-configured libc-l10n:all 2.28-10
2021-11-17 21:57:56 status installed libc-l10n:all 2.28-10
2021-11-17 21:57:56 configure libkate1:arm64 0.4.1-9 <none>
2021-11-17 21:57:56 status unpacked libkate1:arm64 0.4.1-9
2021-11-17 21:57:56 status half-configured libkate1:arm64 0.4.1-9
2021-11-17 21:57:56 status installed libkate1:arm64 0.4.1-9
2021-11-17 21:57:56 configure libgpm2:arm64 1.20.7-5 <none>
2021-11-17 21:57:56 status unpacked libgpm2:arm64 1.20.7-5
2021-11-17 21:57:56 status half-configured libgpm2:arm64 1.20.7-5
2021-11-17 21:57:56 status installed libgpm2:arm64 1.20.7-5
2021-11-17 21:57:56 configure libmpg123-0:arm64 1.25.10-2 <none>
2021-11-17 21:57:56 status unpacked libmpg123-0:arm64 1.25.10-2
2021-11-17 21:57:56 status half-configured libmpg123-0:arm64 1.25.10-2
2021-11-17 21:57:56 status installed libmpg123-0:arm64 1.25.10-2
2021-11-17 21:57:56 configure libogg0:arm64 1.3.2-1+b1 <none>
2021-11-17 21:57:56 status unpacked libogg0:arm64 1.3.2-1+b1
2021-11-17 21:57:56 status half-configured libogg0:arm64 1.3.2-1+b1
2021-11-17 21:57:56 status installed libogg0:arm64 1.3.2-1+b1
2021-11-17 21:57:56 configure liblockfile-bin:arm64 1.14-1.1 <none>
2021-11-17 21:57:56 status unpacked liblockfile-bin:arm64 1.14-1.1
2021-11-17 21:57:56 status half-configured liblockfile-bin:arm64 1.14-1.1
2021-11-17 21:57:56 status installed liblockfile-bin:arm64 1.14-1.1
2021-11-17 21:57:56 configure mime-support:all 3.62 <none>
2021-11-17 21:57:56 status unpacked mime-support:all 3.62
2021-11-17 21:57:56 status half-configured mime-support:all 3.62
2021-11-17 21:57:56 status installed mime-support:all 3.62
2021-11-17 21:57:56 configure libspeex1:arm64 1.2~rc1.2-1+b2 <none>
2021-11-17 21:57:56 status unpacked libspeex1:arm64 1.2~rc1.2-1+b2
